hotel_name,zip,lat_long
"The Hilton Club - New York, New York",10019,"['40.762104', '-73.978826']"
"Chelsea Art Suites, New York",10011,"['40.73948', '-74.00116']"
"Holiday Inn NYC - Lower East Side, New York",10002,"['40.718049', '-73.986432']"
"The Kimpton Muse Hotel, New York",10036,"['40.757976', '-73.983623']"
"Upper Yorkville Apartments, New York",10029,"['40.790003', '-73.94584']"
"Hotel Cliff, New York",10033,"['40.848409', '-73.931392']"
"1021 Lexington Ave 214 2 Bedrooms 1 Bathroom Apts, New York",10021,"['40.771124', '-73.962018']"
"Chelsea Savoy Hotel, New York",10011,"['40.744215', '-73.995962']"
"Hotel Mela Times Square, New York",10036,"['40.756562', '-73.984188']"
"The Shoreham Hotel, New York",10019,"['40.762342', '-73.976519']"
"Millennium Premier New York Times Square, New York",10036,"['40.756709', '-73.984477']"
"AC Hotel by Marriott New York Times Square, New York",10021,"['40.75557', '-73.98986']"
"Park Terrace Hotel on Bryant Park, New York",10018,"['40.752666', '-73.982922']"
"East 94 #232470 - studio Br Apts, New York",10037,"['40.784569', '-73.951884']"
"Sheraton Tribeca New York Hotel, New York",10013,"['40.721021', '-74.004179']"
"Wingate by Wyndham New York Midtown South/5th Ave, New York",10018,"['40.7509', '-73.9841']"
"RIFF Chelsea, New York",10001,"['40.749804', '-73.995658']"
"Executive Class at MTS Hotel, New York",10019,"['40.76194', '-73.982659']"
"Row NYC, New York",10036,"['40.75905', '-73.98844']"
"East Village Lovely & New Apartment 1BR, New York",10009,"['40.72458', '-73.98325']"
"Garden Oasis in West Village 2BR, New York",10011,"['40.74045', '-74.00068']"
"Perfect Retreat in East Village 2BR, New York",10009,"['40.73', '-73.982']"
"East Village Bungalow 3BR, New York",10009,"['40.73', '-73.982']"
"Prime Location Large 3BR Apartment, New York",10003,"['40.72419', '-73.98907']"
"Hotel Plaza Athenee, New York",10065,"['40.766424', '-73.968437']"
"Chelsea Inn, New York",10011,"['40.738839', '-73.994443']"
"31st Street & Park Avenue Best Location, New York",10016,"['40.745181', '-73.982733']"
"Comfort Inn Times Square West, New York",10036,"['40.759379', '-73.990832']"
"The Bernic Hotel New York City, Tapestry Collection by Hilton, New York",10017,"['40.754242', '-73.972802']"
"Residence Inn by Marriott New York Manhattan/Times Square, New York",10019,"['40.75273', '-73.98566']"
"East 81 Apartment #232473 2 Bedrooms 1 Bathroom Apts, New York",10028,"['40.774658', '-73.954099']"
"Studios in New York, New York",10001,"['40.74715', '-73.98792']"
"Direct Loft at 33 West 71st Street, New York",10023,"['40.77611', '-73.977783']"
"RIFF Downtown, New York",10006,"['40.708338', '-74.01343']"
"Morningside Inn, New York",10025,"['40.801768', '-73.966717']"
"Archer Hotel New York, New York",10018,"['40.751857', '-73.984879']"
"329 East Apartment #232459 2 Bedrooms 1 Bathroom Apts, New York",10128,"['40.782498', '-73.946405']"
"The Quin Central Park by Hilton Club, New York",10019,"['40.764263', '-73.977069']"
"DoubleTree by Hilton Hotel New York - Times Square South, New York",10018,"['40.754217', '-73.994295']"
"Serene Homes E25, New York",10010,"['40.740863', '-73.983743']"
"Lord & Moris - Times Square Hotel, New York",10018,"['40.75569', '-73.99159']"
"Midtown East 35th Street Best Location, New York",10016,"['40.745495', '-73.975365']"
"Sheraton New York Times Square Hotel, New York",10019,"['40.76264', '-73.98213']"
"Macy Empire Apartments, New York",10001,"['40.747044', '-73.987159']"
"The Bowery Hotel, New York",10012,"['40.72611', '-73.99191']"
"Colonial House Inn, New York",10011,"['40.745034', '-73.999937']"
"NY011 2 Bedroom Apartment By Senstay, New York",10036,"['40.7609', '-73.98893']"
"East 81 Studio #232476 Studio Bedroom 1 Bathroom Apts, New York",10028,"['40.774658', '-73.954099']"
"255West Guesthouse, New York",10027,"['40.8141', '-73.946807']"
"2 BEDROOM on Union Square Best Location, New York",10003,"['40.731298', '-73.986541']"
"Hilton Garden Inn New York/Central Park South-Midtown West, New York",10019,"['40.764324', '-73.98316']"
"Times Square Grande Duplex, New York",10019,"['40.767644', '-73.989649']"
"Novotel New York Times Square, New York",10019,"['40.762884', '-73.983627']"
"Superior 1BR Midtown Apartments, New York",10036,"['40.758027', '-73.981814']"
"Four Points by Sheraton Manhattan - Chelsea, New York",10001,"['40.745099', '-73.994116']"
"The Gallivant Times Square , New York",10036,"['40.760691', '-73.98622']"
"405 East 61st Street #5C 149 3 Bedrooms 1 Bathroom Apts, New York",10065,"['40.760801', '-73.960446']"
"104 West 83rd Street #3B 195 1 Bedroom 1 Bathroom Apts, New York",10024,"['40.784577', '-73.974227']"
"3 West Club, New York",10019,"['40.759666', '-73.977292']"
"Crowne Plaza Times Square Manhattan, New York",10019,"['40.76025', '-73.98478']"
"Bowery Grand Hotel, New York",10002,"['40.719014', '-73.994535']"
"Blakely New York, New York",10019,"['40.763655', '-73.979649']"
"Lincoln Center Apartments, New York",10023,"['40.778805', '-73.98208']"
"Pod 51, New York",10022,"['40.755889', '-73.968987']"
"Central Park Studios at Lex, New York",10029,"['40.791442', '-73.946419']"
"Park West Hotel, New York",10026,"['40.79974', '-73.95889']"
"The Standard East Village, New York",10003,"['40.727844', '-73.991075']"
"Casamia 36 Hotel, New York",10018,"['40.755642', '-73.997647']"
"346 East 65th 3A. 227 2 Bedrooms 1 Bathroom Apts, New York",10065,"['40.763451', '-73.960036']"
"Beautiful Studio near Central Park, New York",10025,"['40.799349', '-73.96245']"
"The Frederick Hotel, New York",10012,"['40.715505', '-74.009255']"
"428 W 47th Street 2 Bedroom Apartment, New York",10036,"['40.762071', '-73.991571']"
"337 East Apartment #232479 Studio Bedroom 1 Bathroom Apts, New York",10028,"['40.774295', '-73.952649']"
"NY016 4 Bedroom Apartment By Senstay, New York",10036,"['40.7609', '-73.98893']"
"Hotel Indigo Lower East Side New York, New York",10002,"['40.721736', '-73.987497']"
"Hotel 32 32, New York",10016,"['40.746207', '-73.983351']"
"Hudson River Hotel, New York",10018,"['40.755483', '-73.99733']"
"Metro Studio Apartment in Kipsbay, New York",10016,"['40.740896', '-73.981594']"
"474 9th Avenue 2B. 177 3 Bedrooms 1 Bathroom Apts, New York",10018,"['40.754845', '-73.994908']"
"Clarion Hotel Park Avenue, New York",10016,"['40.74417', '-73.98338']"
"Night Hotel Theater District, Times Square, New York",10036,"['40.757349', '-73.984069']"
"United Nations Apartment Hotel, New York",10017,"['40.751518', '-73.970371']"
"East 81 Studio #232468 Studio Bedroom 1 Bathroom Apts, New York",10028,"['40.774658', '-73.954099']"
"The Gregory Hotel, New York",10001,"['40.749875', '-73.985966']"
"414 Hotel, New York",10036,"['40.76117', '-73.99117']"
"Soho Grand Hotel, New York",10013,"['40.721886', '-74.004201']"
"201 East 89th Street #3b. 164 1 Bedroom 1 Bathroom Apts, New York",10128,"['40.780668', '-73.952036']"
"Central Harlem Renovated Apartments, New York",10030,"['40.819469', '-73.937528']"
"Hilton Garden Inn New York/Manhattan-Chelsea, New York",10001,"['40.746478', '-73.991579']"
"Washington Square Hotel, New York",10011,"['40.73226', '-73.99867']"
"East 81 #232478 - studio Br Apts, New York",10028,"['40.774658', '-73.954099']"
"Hello Broadway, New York",10001,"['40.74725', '-73.98776']"
"The Wagner Hotel, New York",10280,"['40.70552', '-74.01744']"
"The Marmara Manhattan, New York",10128,"['40.782847', '-73.947762']"
"Freehand New York, New York",10010,"['40.73973', '-73.98442']"
"329 East Apartment #232399 2 Bedrooms 1 Bathroom Apts, New York",10128,"['40.782498', '-73.946405']"
"NY002 4 Bedroom Apartment By Senstay, New York",10013,"['40.72218', '-74.00356']"
"Chelsea West 30th Street - 1BR Apartment, New York",10001,"['40.748942', '-73.993577']"
"The Inn at Irving Place, New York",10003,"['40.736064', '-73.987251']"
"Direct Loft at 8 Rivington Street, New York",10002,"['40.72141', '-73.99294']"
"NY063 1 Bedroom Apartment By Senstay, New York",10014,"['40.7303', '-74.00502']"
"9 East 117th Street #1 3 Bedrooms 1 Bathroom Apts, New York",10035,"['40.80136', '-73.944668']"
