hotel_name,zip,lat_long
"Madison LES Hotel, New York",10002,"['40.71221', '-73.99269']"
"Holiday Inn Express New York City Times Square, New York",10018,"['40.756194', '-73.993219']"
"Cassa Hotel NY 45th Street, New York",10036,"['40.756473', '-73.982168']"
"New York Marriott East Side, New York",10017,"['40.75553', '-73.97305']"
"Waldorf Astoria New York, New York",10037,"['40.75658', '-73.97432']"
"The Kimberly Hotel, New York",10022,"['40.756137', '-73.971505']"
"The Lex NYC, New York",10037,"['40.740169', '-73.984262']"
"New York Hilton Midtown, New York",10019,"['40.76225', '-73.97874']"
"The Mark, New York",10021,"['40.775147', '-73.963432']"
"Hampton Inn Manhattan-Chelsea, New York",10011,"['40.743825', '-73.992972']"
"Edge Hotel, New York",10032,"['40.840226', '-73.937751']"
"Green Holidays Apartments, New York",10001,"['40.747301', '-73.98775']"
"Stewart Hotel, New York",10001,"['40.74892', '-73.99218']"
"Fifty Hotel & Suites by Affinia, New York",10022,"['40.7561', '-73.971']"
"Candlewood Suites New York City-Times Square, New York",10018,"['40.756149', '-73.993114']"
"Shelburne Hotel & Suites by Affinia, New York",10016,"['40.748379', '-73.97789']"
"Hilton New York Fashion District, New York",10001,"['40.745722', '-73.993641']"
"Arlo SoHo, New York",10013,"['40.724241', '-74.007842']"
"Hampton Inn Madison Square Garden Area Hotel, New York",10001,"['40.748256', '-73.990032']"
"Duane Street Hotel Tribeca, New York",10013,"['40.716039', '-74.007309']"
"Fitzpatrick Manhattan Hotel, New York",10022,"['40.76072', '-73.969295']"
"Hotel 99, New York",10025,"['40.796751', '-73.970768']"
"Hotel Mulberry, New York",10013,"['40.715425', '-73.999515']"
"NY010 2 Bedroom Apartment By Senstay, New York",10036,"['40.7609', '-73.98893']"
"DoubleTree by Hilton New York Times Square West, New York",10018,"['40.75682', '-73.99298']"
"Upper East Side Apartments, New York",10029,"['40.79592', '-73.94878']"
"WestHouse New York, New York",10019,"['40.764421', '-73.98144']"
"Hotel On Rivington, New York",10002,"['40.71983', '-73.98806']"
"Hilton Garden Inn New York/Midtown Park Ave, New York",10016,"['40.746662', '-73.982421']"
"Homewood Suites New York/Midtown Manhattan Times Square, New York",10018,"['40.754452', '-73.993009']"
"The Langham, New York, Fifth Avenue, New York",10018,"['40.750089', '-73.983368']"
"The Nomad Suites & Apartments, New York",10019,"['40.747542', '-73.988336']"
"Hampton Inn Manhattan Grand Central, New York",10017,"['40.750738', '-73.972332']"
"The Marcel at Gramercy, New York",10010,"['40.739362', '-73.982337']"
"Jazz On The Park Hostel, New York",10025,"['40.7982', '-73.96097']"
"The Ridge Hotel, New York",10002,"['40.72287', '-73.9894']"
"INNSIDE by Melià New York Nomad, New York",10001,"['40.746178', '-73.992745']"
"415 East 54th St - 2 Br Apts, New York",10019,"['40.7663', '-73.9884']"
"Hotel St. James, New York",10036,"['40.757036', '-73.983307']"
"Courtyard by Marriott New York Manhattan/Upper East Side, New York",10128,"['40.780392', '-73.945881']"
"Hotel Edison, New York",10036,"['40.759797', '-73.986025']"
"Courtyard by Marriott New York Manhattan / Central Park, New York",10019,"['40.764207', '-73.98246']"
"329 East #232474 - 2 Br Apts, New York",10128,"['40.782498', '-73.946405']"
"Hotel Mimosa, New York",10002,"['40.714312', '-73.993821']"
"YOTEL New York, New York",10036,"['40.759184', '-73.995798']"
"The Townhouse Inn of Chelsea, New York",10011,"['40.743407', '-73.993995']"
"My Favorite Place B&B, New York",10029,"['40.800309', '-73.945698']"
"Hilton Garden Inn Times Square, New York",10019,"['40.76112', '-73.98695']"
"Beekman Tower Studio Suite 0 Bedroom 1 Bathroom Apts, New York",10017,"['40.753401', '-73.966174']"
